ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
14108,Alwarpet,Chennai,Sushi In A Box,1500,4.4,100,Japanese,Alwarpet,64
14725,Chetpet,Chennai,Le Wrap Factorie,200,4.4,20,"Mexican,Continental",Chetpet,57
14920,Mylapore,Chennai,Pedreno'S,1000,4.1,20,"Italian,Italian-American,American",Rk Salai,60
14941,Aminjikarai,Chennai,Cafe Toastie Express,250,4.2,20,Fast Food,Nelson Manickam Road,66
15553,Poongavanapuram,Chennai,Anjappar,600,4,50,"North Indian,Chinese,Chettinad,South Indian,Seafood",Egmore,34
15567,Egmore,Chennai,Ponnusamy Hotel,600,4.2,100,"Biryani,South Indian,Tandoor",Ethiraj Salai,38
15923,Choolaimedu,Chennai,Cafe Chef'S Paradise,450,4.2,20,"Italian,Chinese,Continental,Indian",Choolaimedu,67
15963,T. Nagar,Chennai,New Andhra Meals Hotel,400,4.4,500,"Andhra,South Indian",T Nagar,69
16141,T. Nagar,Chennai,Moonlight Takeaway & Delivery,250,4,1000,"Indian,Chinese,Tandoor",T. Nagar,66
16296,Gopalapuram,Chennai,Sera - The Tapas Bar & Restaurant,1000,4.1,20,"Chinese,Continental,Spanish",Gopalapuram,60
16506,Alwarpet,Chennai,Chap Chay - The Raintree,1200,4.4,50,"Chinese,Thai,Malaysian",Anna Salai,72
16561,Purasaiwakkam,Chennai,Tibbs Frankie,100,3.8,100,Fast Food,Purasawalkam,34
16617,Purasaiwakkam,Chennai,Ganga Sweets,250,4.5,100,"North Indian,South Indian,Sweets",Purasawalkam High Road,31
16974,Cit Nagar,Chennai,Karaikudi Chettinadu Restaurant,300,3.6,20,"Chettinad,Chinese,South Indian,Biryani,Tandoor",Ranganathan Street,78
17150,Annanagar East,Chennai,Southern Chinese Restaurant,400,3.9,500,Chinese,Anna Nagar East,61
17155,Chennai,Chennai,Olive And Basil,500,3.8,100,Chinese,Egmore,37
17456,Anna Nagar,Chennai,Sigree,700,4.4,100,"North Indian,Mughlai,Kebabs,Mediterranean,Greek,Turkish,Lebanese",Anna Nagar East,67
17906,West Mambalam,Chennai,Chop 'N' Stix,500,4.3,100,Chinese,Ashok Nagar,77
17907,Egmore,Chennai,Abid'S,700,4.5,100,"Arabian,Biryani,Chinese,Grill,Hyderabadi,Indian,North Indian,Tandoor",Spurtank Road,35
18333,T. Nagar,Chennai,Chocolate Fantasy,200,4.1,20,"Bakery,Desserts,American,Italian,Beverages",Thirumalai Pillai Road,64
18551,Nandanam,Chennai,Chamiers Cafe,1000,4.5,50,"Continental,Italian",Chamiers Road,66
18837,T. Nagar,Chennai,Zuka,800,4.5,100,"Desserts,Bakery",Tnagar,64
18846,Anna Nagar,Chennai,Parambriym,600,4.2,20,"Biryani,South Indian,Indian",Anna Nagar West,63
19000,Anna Nagar,Chennai,Cafe Arabica,700,4.4,500,"Italian,Continental,Arabian,Bakery",Anna Nagarr,60
19187,Anna Nagar West Extension,Chennai,Hotel Pentagon,350,4.1,20,"Chinese,North Indian,South Indian",Thirumangalam,73
19917,Anna Nagar,Chennai,Asian Station,1400,4.5,100,Asian,Croma Building,66
19927,Teynampet,Chennai,New Seoul,1500,4.3,20,"Japanese,Korean",406 3Rd Floor,64
20166,Thousand Lights,Chennai,Kabab Corner,350,4.4,100,"Mughlai,North Indian",Nungambakkam,45
20747,T. Nagar,Chennai,Rottu Kadai Food Court,250,4.1,50,"Chettinad,South Indian",G. N. Chetty Road,68
20929,T. Nagar,Chennai,Nasi Kandar Pelita,500,4.5,100,"North Indian,South Indian,Malaysian,Indian",Pondy Bazaar,67
21032,Vadapalani,Chennai,Ksg Queen Pizza,150,3.2,50,Fast Food,Subamangalam Complex,70
21232,Balavinayagar Nagar,Chennai,Hotel Arafa,400,4,100,"South Indian,Biryani,Kebabs",Arumbakkam,58
21238,Thousand Lights,Chennai,Dhaba Estd 1986 Delhi,900,4.2,100,"Biryani,Hyderabadi,North Indian,Indian,Tandoor,Punjabi",Ispahani Center,52
21780,Arumbakkam,Chennai,Achu'S Cakes & Bakes,150,2.9,80,Bakery,Arumbakkam,71
21785,Vadapalani,Chennai,The Waterfall Restaurant,500,3.9,50,"Indian,Chinese,Andhra,Tandoor",Vadapalani,80
22234,Choolaimedu,Chennai,Naga Reju Fast Food,300,4.3,500,"Naga,Chinese,Continental",Arumbakkam,52
22399,Nungambakkam,Chennai,Movenpick Ice Cream Boutique,500,4.5,20,"Ice Cream,Beverages,Desserts",Nungambakkam High Road,46
22772,Cit Nagar,Chennai,Dezire Sugar Free Health Cafe,150,4.4,50,"Bakery,Desserts,Sweets",T Nagar,69
23210,Chetpet,Chennai,Cafe Adoniya,500,4.3,20,"Bakery,Fast Food,Desserts",Spurtank Road,46
23496,Choolaimedu,Chennai,Cake Max,100,4.2,500,"Bakery,Desserts,Pizzas,Beverages",Arumbakkam,65
24274,Kilpauk,Chennai,The Creams,200,4.4,100,"Bakery,Ice Cream,Desserts",Ormes Road,32
24656,Nungambakkam,Chennai,Grill House,300,4,1000,"North Indian,Biryani,Kebabs,Indian,Grill,Juices,Seafood,Tandoor",Josier Street,58
25312,Chennai,Chennai,Le Cafe Et Gateaux,400,4.1,50,"American,Bakery",Paper Mills Road,68
25726,Royapettah,Chennai,Salem Rr Restaurant,300,4.1,500,"North Indian,Chinese,South Indian,Biryani",Nungambakkam,41
26618,Anna Nagar,Chennai,Kolapasi Takeaway,300,4.1,100,"South Indian,Biryani",Anna Nagar East,62
26619,Chetpet,Chennai,Hotel Rolex,400,3.9,100,"Biryani,Chinese,Desserts,Grill,Juices,Kebabs,North Indian,Seafood,Tandoor",Mcnichols Road,44
27991,T. Nagar,Chennai,Latitude - The Park,1400,2.9,80,"Salads,Desserts,Italian,Juices,Beverages,Grill",Nungambakkam,84
28376,Egmore,Chennai,City Sqaure Cafeteria,300,4,100,"Arabian,Ice Cream,Beverages,Desserts",Casa Major Road,33
29023,Raja Annamalai Puram,Chennai,Hotel Marina Park,400,3.8,20,"Indian,Biryani,Arabian,Grill,South Indian",Santhome,67
29064,T Nagar,Chennai,Ferraree,850,2.9,80,"North Indian,Chinese,South Indian,Continental",Thirumalai Pillai Road,69
29065,Cit Nagar,Chennai,Fryyo,300,4.2,50,Fast Food,South Usman Road,75
30791,Perambur,Chennai,Tasty Kitchen,300,4.2,1000,"Biryani,South Indian,Chinese,Fast Food,North Indian",Kolathur,62
32263,Choolaimedu,Chennai,Hot Sandwich,200,4.3,100,Fast Food,Choolaimedu,61
33121,Thousand Lights,Chennai,Amethyst,1000,4.6,50,"Italian,Continental",Royapettah,53
33207,George Town,Chennai,Pizza Square (Mint 2),500,2.9,80,"American,Pizzas",Same As Cake Square Bazaar Road,50
33290,Nungambakkam,Chennai,The Table,350,4.5,50,Desserts,Nungambakkam,55
33434,Nungambakkam,Chennai,Ponnusamy Hotels,300,4,100,"Tandoor,Indian,Mughlai",Jaganthan Road,54
33457,Purasaiwakkam,Chennai,Buhari,600,3.8,1000,"Biryani,North Indian,Chinese,South Indian,Arabian",Purasawalkam - Buhari,34
34166,Nungambakkam,Chennai,Rahman Biriyani Formerly Known As Bismi Biriyani,350,4.2,100,"Biryani,Chinese,Grill,Indian,North Indian,South Indian,Tandoor",Valluvarkottam High Road,49
34312,T. Nagar,Chennai,Chin Chin - The Residency,1900,4.3,50,Chinese,T. Nagar,72
34313,T. Nagar,Chennai,The Right Place - The Residency,1000,2.9,80,"Indian,Continental",T. Nagar,71
35433,T. Nagar,Chennai,Momo,100,4.1,50,Chinese,T Nagar,60
37039,Vadapalani,Chennai,Salt Indian Restaurant & Grill,1500,4.1,100,"North Indian,Biryani,Combo",Forum Mall,84
37067,Kilpauk,Chennai,Subway,350,4.4,1000,"Fast Food,Salads,Snacks,Desserts,Beverages",Kilpauk,48
37972,Anna Salai,Chennai,Mcdonald'S,400,4.3,1000,"American,Fast Food",Spencer,38
38154,Alwarpet,Chennai,Pumpkin Tales,950,4.6,500,"Asian,Bakery,Continental",Bheemanna Garden St Sri Ram Nagar,66
38158,Perambur,Chennai,Iftar Corner,400,4.1,100,"Arabian,Asian,Chinese",Perambur,64
38187,Aminjikarai,Chennai,Jasmine Restaurant,250,4.1,50,"Biryani,Chettinad",Kk Nagar,54
38467,Sastri Nager,Chennai,Madras Biriyani,500,3.9,100,"Biryani,Mughlai",Vysarpadi,53
38590,Kodungaiyur,Chennai,J J Juicy World,250,4.1,20,"Chaat,Juices",Moolakadai,64
38692,Triplicane,Chennai,Five Star Chicken,350,2.9,80,Fast Food,Royepettah,46
39447,Egmore,Chennai,Cake Park,150,2.9,80,"Bakery,Desserts",Ethiraj Salai,47
39583,Perambur,Chennai,Grill & Barbeque,300,4,500,"Chinese,Fast Food,Grill,North Indian",Perambur,64
40288,Chetpet,Chennai,Bayleaf Otg (On The Go),300,4.3,100,"North Indian,Bengali,Biryani,Street Food",Harrington Road,45
40473,Perambur,Chennai,Sri Guru Fast Food,250,3.9,50,"Fast Food,North Indian",Jawahar Nagar,60
40908,Mylapore,Chennai,Classic Shawarma And Grill,250,4.1,20,"Arabian,Fast Food",Mylapore Kutcheri Road,58
41397,Old Washermanpet,Chennai,Frozen Smoothies,350,4,100,"Beverages,Ice Cream,Juices,Desserts,Snacks",Choolai,68
41741,Poongavanapuram,Chennai,Lassi Shop,100,3.9,20,Beverages,Periamet,30
42330,Gopalapuram,Chennai,Sri Ganesh Chettinadu Hotel,400,4.1,100,"Fast Food,South Indian",Royapettah,49
42337,Raja Annamalai Puram,Chennai,Fromage,1000,4.3,50,"Italian,Continental",Mrc Nagar,77
42832,Choolaimedu,Chennai,Al Dari Biryani,350,3.6,100,"Biryani,Indian",Kodambakkam,79
43185,Egmore,Chennai,Palmshore,400,4,1000,Arabian,Egmore,44
43189,Balavinayagar Nagar,Chennai,Cake Waves,300,2.9,80,"Bakery,Desserts",Arumbakkam,70
44000,Royapettah,Chennai,Madurai Pandian Mess,300,4.2,1000,South Indian,Mylapore,49
44141,Chennai,Chennai,Arul Chettinadu Hotel,350,4,1000,"Chettinad,Chinese,South Indian,Seafood,Biryani",Near Poorvika,51
44246,Annanagar East,Chennai,Roll Baby Roll,250,4.4,100,Indian,Near Ice Cream Works,56
44261,Anna Nagar,Chennai,Urban Spatula,1000,4.3,100,"Arabian,Asian,Biryani,Continental,Italian,Kebabs,North Indian,Seafood",Annanagar,80
44640,Teynampet,Chennai,Chit Chat,100,2.9,80,"Desserts,Ice Cream,Snacks",T Nagar,58
46092,T. Nagar,Chennai,Shaik Shack Shawarma,200,4.1,100,Fast Food,T Nagar,72
46137,Perambur,Chennai,Dolphin Fast Food,300,4.1,100,"South Indian,North Indian,Chinese,Fast Food",Periyar Nagar,59
46248,Perambur,Chennai,Burger Cafe,250,4.2,100,"American,Beverages,Fast Food",Jamaliya,52
46460,Triplicane,Chennai,Rizwan Biriyani And Kabab Center,300,4.1,100,"Biryani,Fast Food,Kebabs",Royapettah,34
46773,Teynampet,Chennai,Ente Keralam,750,4.5,100,Kerala,Kasturi Estate,58
46909,Nungambakkam,Chennai,Hotel Crescent,450,4.3,1000,"Kerala,South Indian,Chinese,North Indian",Valluvar Kottam,49
47004,Purasaiwakkam,Chennai,Hotel Deccan,400,4.3,100,"Biryani,Chettinad,South Indian,Chinese",Purasawakam,32
47458,Gopalapuram,Chennai,Hotel Safari,450,4.3,500,"North Indian,South Indian,Chinese,Biryani",Royapettah,42
48630,Teynampet,Chennai,Hot Pan,200,3.5,20,"Pizzas,Chinese,Juices",Teynampet,64
49133,Poongavanapuram,Chennai,Karim Biryani,300,3.8,20,"Biryani,South Indian",Periamet,32
49163,Triplicane,Chennai,Hotel Sangam - Mount Road,300,4.1,500,"Biryani,North Indian,Chinese",Mount Road,36
49578,Annanagar East,Chennai,Daily Treat,200,3.8,20,"American,Juices,Street Food,Pizzas",Annanagar,62
49811,Royapettah,Chennai,Hot Breads,150,4.4,100,Bakery,Triplicane,39
49931,Perambur,Chennai,Arafa Biriyani & Kebab Point,250,3.8,50,"Biryani,Chinese",Perambur,62
49939,Aminjikarai,Chennai,Deen Biryani,400,3.8,1000,"Biryani,Chinese",Arumbakkam,54
50138,Thousand Lights,Chennai,Old Madras Baking Company,300,4.6,100,"Bakery,Desserts",Khader Nawaz Khan Road,37
50216,Nungambakkam,Chennai,Drunken Monkey,400,4.2,100,"Healthy Food,Beverages,Juices",Sterling Road,56
50773,West Mambalam,Chennai,Vijay'S Delhi Chat,150,4.3,50,"Chinese,North Indian,Chaat",T Nagar,77
50973,Kilpauk,Chennai,Buhari Vintage Hotel - Kilpauk,400,4.4,100,"Biryani,North Indian,Chinese",Old 6-E Harleys Road,45
51158,Anna Nagar,Chennai,Hyderabad Mughal Biriyani,500,3.9,100,"North Indian,Chinese",Annanagar,69
51230,Triplicane,Chennai,Umar Biriyani,400,2.9,80,"Biryani,Chinese,Arabian",Royapettah,34
51317,Chennai,Chennai,Pally Tastei Food (Perambur),250,3.9,1000,"Chinese,North Indian,South Indian",Perambur,53
51492,Purasaiwakkam,Chennai,Ritz,650,2.9,80,"North Indian,Chinese",Egmore,39
51621,Nungambakkam,Chennai,Mishwar Restaurant,750,3.9,20,"Kerala,South Indian,Arabian,Chinese",Nungambakkam,54
51832,Royapuram,Chennai,Pandia'S Avenue,500,4.1,1000,"Chettinad,South Indian,North Indian,Chinese",Royapuram,67
51833,Old Washermanpet,Chennai,Bakers Spring,250,4.3,50,"Bakery,Desserts,Fast Food",Royapuram,61
51863,George Town,Chennai,Sea Shore,500,3.8,20,"North Indian,Chettinad,Chinese,Seafood",Broadway Near Vijaya Opticals',39
52024,George Town,Chennai,Hotel Zum Zum 1965,300,3.7,100,"North Indian,South Indian,Chettinad",George Town,46
52045,Anna Nagar,Chennai,Little Hut (Shanthi Colony),300,4.3,100,"North Indian,Chinese,Fast Food,Arabian",Annanagar,65
52151,Old Washermanpet,Chennai,Atho Man,350,4,100,"Burmese,Indian,Chinese,Arabian",Royapuram,49
52207,Vadapalani,Chennai,Asima Briyani,400,4,100,"Biryani,Indian,Chinese,North Indian,South Indian,Grill,Barbecue,Tandoor",Vadapalani,73
52548,George Town,Chennai,Dindigul Thalappakatti,400,3.9,100,"Biryani,Barbecue,South Indian,Chinese,North Indian",N.S.C Bose Road,50
52604,Chennai,Chennai,Pizza Cottage,450,4.1,100,"Pizzas,Fast Food",Royapuram,48
52725,Royapettah,Chennai,Kozhi Idli,200,4.4,100,South Indian,Royapettah,46
53710,Chennai,Chennai,Chef Express,250,4,100,Italian,T Nagar,75
53815,Choolaimedu,Chennai,Zam Zam Biriyani & Fast Food,250,3.8,20,"Biryani,Fast Food",Choolaimedu,65
53884,Kilpauk,Chennai,Wraps & Rolls,150,4.1,50,"Street Food,Fast Food,Pizzas,Italian,Desserts",Kilpauk,45
53934,Purasaiwakkam,Chennai,Ibaco,800,4.7,50,"Ice Cream,Desserts",Purasaiwalkam,35
54668,George Town,Chennai,Cool Biz,100,4,100,"Beverages,Juices",Parrys,38
54735,Kilpauk,Chennai,Saleem Biryani,300,3.6,50,"Biryani,Chinese,North Indian",Dr.Alagappa Road,40
54801,Raja Annamalai Puram,Chennai,Broken Bridge Cafe,1100,4.5,50,"Indian,Continental",Alwarpet,79
54972,George Town,Chennai,Hotel Kalyana Bhavan,250,2.9,80,Biryani,Parrys Corner,50
54973,Royapettah,Chennai,Sathyam Cinemas,250,4.4,500,"Fast Food,Snacks,Desserts,Beverages",Sathyam Cinemas,44
55334,Teynampet,Chennai,The Summer House Eatery,1000,4.3,50,"Italian,Continental,French,Japanese,Korean,Thai",Alwarpet,59
55746,Purasaiwakkam,Chennai,The Cake World,250,2.9,80,"Bakery,Desserts",Purasawalkam,49
56130,Annanagar East,Chennai,Shri Balaajee Bhavan,250,4.5,1000,"South Indian,North Indian",Anna Nagar,53
56627,Purasaiwakkam,Chennai,Chaicup,200,4.3,100,"Beverages,Snacks,Bakery",Briklyn Road,36
57004,Anna Nagar,Chennai,Kings Kitchen,249,2.9,80,"Chinese,Kebabs,North Indian",Annanagar,67
57048,Nungambakkam,Chennai,Chicking,350,4.3,500,"Fast Food,Continental",Nungambakkam,58
57113,Washermanpet,Chennai,Atho Grillz - G A Road,350,4,100,"Burmese,Indian,Chinese,Arabian",Old Washermanpet,56
57673,Purasaiwakkam,Chennai,Lite Tiffin,300,4.1,20,South Indian,Kilpauk,51
57856,Anna Nagar,Chennai,Superstar Pizza,500,4.2,20,"Pizzas,Fast Food",Anna Nagar,67
57868,Mylapore,Chennai,Viswanathan Chettinadu Hotel,200,4.1,100,South Indian,Mylapore,55
58049,Chennai,Chennai,Perambur Sri Srinivasa Sweets And Snacks,300,4.3,1000,"South Indian,North Indian",Opposite Perambur Railway Station,55
58632,Choolaimedu,Chennai,New Loyola Fast Foods,250,4.2,100,"Chinese,Biryani",Nelson Manickam,53
58858,Kodungaiyur,Chennai,Madras Pizza,200,4.1,100,"Pizzas,Juices,Beverages",Sundaram Pillai,62
59550,Gopalapuram,Chennai,The Grand Sweets And Snacks - Amirtham Restaurant,200,4.7,100,"Sweets,Snacks",Gopalapuram,44
59555,T. Nagar,Chennai,The Grand Sweets And Snacks - Amirtham Restaurant,400,4.7,500,"Sweets,Snacks",T Nagar,58
59864,Thousand Lights,Chennai,Palm Jumeira,400,3.9,500,"Indian,Chinese,Arabian,Biryani,Beverages,Desserts",Royapettah,45
59971,Anna Nagar,Chennai,Kebabery,400,4.3,100,"Afghani,Biryani",Anna Nagar,70
60347,Mylapore,Chennai,27 Culinary Street,300,2.9,80,"North Indian,South Indian,Chinese,Indian,Mongolian,Continental",Mylapore,55
61000,Teynampet,Chennai,Truffle Delight,200,3.9,100,"Bakery,Desserts,Beverages,Snacks,Juices,Pizzas",Alwarpet,60
61561,West Mambalam,Chennai,Fnp Cakes 'N' More,200,3.7,50,Desserts,Ashok Nagar,71
61910,Poongavanapuram,Chennai,Hotel Khaja Empire,300,4,20,"Chinese,North Indian",Purasawakam,37
62679,Anna Nagar,Chennai,Ambur Star Briyani,500,4.3,1000,Biryani,Near Tower Park,58
63156,Vyasarpadi,Chennai,Meat And Eat,400,4.2,100,Fast Food,Perambur,48
63705,Kodambakkam,Chennai,Hotel Hollywood,500,4.3,100,"North Indian,Biryani,Seafood,South Indian",Kodambakkam,66
67283,Kodambakkam,Chennai,Rahmas Biryani,300,3.8,20,Biryani,Kodambakkam,80
67575,Thousand Lights,Chennai,Savoury Sea Shell,400,4.3,1000,"Arabian,Indian,Chinese",Egmore,47
69489,Kodambakkam,Chennai,The Juice Shop @ Arab Street,150,2.9,80,"Juices,Desserts,Beverages",Kodambakkam,83
69531,Annanagar,Chennai,6Th Avenue,250,3.7,20,"Indian,Chinese,Continental",Anna Nagar West,70
70344,Ayanavaram,Chennai,Udupi Hotel Venkateswara,300,4.3,100,"South Indian,North Indian,Chinese",Anna Nagar,51
71361,Purasaiwakkam,Chennai,Shree Konar Vilas,300,4.1,500,"South Indian,Chettinad",Purasawakam,31
72236,Teynampet,Chennai,Cafe Cakebee,700,4.3,50,"Cafe,Italian,Bakery,Desserts",Alwarpet,63
72625,Raja Annamalai Puram,Chennai,Ciclo Life,500,4.5,500,"Salads,Continental,Oriental,Beverages",2Nd Main Rd Govindaswamy Nagar,68
73475,Choolai,Chennai,Snackart,200,3.5,20,Snacks,Pattalam,45
73574,Egmore,Chennai,Brownie Heaven,200,4.6,20,Desserts,Egmore,37
73662,Annanagar East,Chennai,Mozza,0,2.9,80,"Continental,Chinese,Italian,Mexican",Annangar East,64
73665,Kolathur,Chennai,Bismillah Briyani & Fast Food,300,3.8,500,"Tandoor,Chinese,Biryani,Indian",Perambur,63
73720,Kilpauk,Chennai,Hotel Paramount,500,4.3,1000,"North Indian,South Indian,Chinese,Seafood,Biryani",Kilpauk,39
74870,Old Washermanpet,Chennai,Nypfc - New York Pizza & Fried Chicken,350,4.2,100,"Fast Food,Pizzas",Royapuram,59
76702,Egmore,Chennai,The Red Box,400,4,500,Chinese,Egmore,38
79595,Alwarpet,Chennai,Hutong,800,3.5,20,"Chinese,Pan-Asian,Combo",Alwarpet,69
80398,Anna Nagar,Chennai,Rosewater,800,4.2,20,"Indian,Chinese,Continental,Asian",Anna Nagar East,73
81114,Purasaiwakkam,Chennai,Courtallam Border Rahmath Kadai,500,4.1,500,South Indian,Tana Street,36
81650,Old Washermanpet,Chennai,Taj Multi Cuisine Restaurant,300,3.9,100,"Indian,Chinese,Tandoor",Royapuram,63
82956,Jamalia,Chennai,A R Rahman Bistro,300,4.2,20,"North Indian,Arabian,Chinese",Perambur,49
84139,T. Nagar,Chennai,Chai Kanth,150,4.1,100,Beverages,T Nagar,70
84140,Kodungaiyur,Chennai,Yunoos Restaurant,300,4.2,100,"South Indian,Chinese",Perambur,57
86724,Thousand Lights,Chennai,Nasi And Mee,1200,4.5,500,"Pan-Asian,Singaporean,Malaysian,Japanese,Asian,Thai,Chinese,Indonesian",Nungambakkam,50
87551,Royapuram,Chennai,Banana Leaf,300,3.8,50,"South Indian,Biryani,Chinese",Royapuram,54
88711,Old Washermanpet,Chennai,Nizam Biryani Catering,400,4.2,500,"Biryani,Chinese",Royapuram,56
89691,Anna Nagar,Chennai,Cheesy Juicy Burgers,450,3.9,50,"Fast Food,Continental",Anna Nagar,60
90694,Anna Nagar,Chennai,Happy Cake Stories,350,3.8,20,Bakery,Anna Nagar,76
90712,Thousand Lights,Chennai,Ubq By Barbeque Nation,300,3.9,100,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Thousand Light West,50
90911,Chennai,Chennai,Chennai Rawther Biriyani,300,4.2,100,"Chinese,North Indian,Biryani",Koyambedu,76
91781,Annanagar East,Chennai,Italian Pizza,200,3.4,20,"Italian,Continental",Annanagar East,62
92403,Kilpauk,Chennai,Juice Junction,150,4.6,500,"Juices,Beverages",Kilpauk Garden,54
92796,Perambur,Chennai,Riyas Briyani,250,4,100,"Biryani,Tandoor,Chinese,North Indian",Kolathur,60
94075,Balavinayagar Nagar,Chennai,Vigrama Hotel,250,4.1,50,South Indian,Arumbakkam,61
95206,Choolaimedu,Chennai,Mujiba Restaurant,300,2.9,80,"Indian,Chinese",Imbarjapuram 1St Street,92
97418,Teynampet,Chennai,Sweetsoul Buddha Bowls,1100,4.5,100,"Healthy Food,Salads,Desserts",Hotel Raj Park,64
